Gene1	Gene2	pdi	ppi	Dir
1875	3376	1	0	1
1875	3396	1	0	1
1875	3423	1	0	1
1875	3455	1	0	1
1875	3554	1	0	1
1875	3566	1	0	1
1875	3633	1	0	1
1875	3693	1	0	1
1875	3833	1	0	1
1875	3835	1	0	1
1875	3858	1	0	1
1875	3925	1	0	1
1875	3939	1	0	1
1875	3945	1	0	1
1875	3956	1	0	1
1875	3978	1	0	1
1875	3981	1	0	1
1875	3983	1	0	1
1875	4000	1	0	1
1875	4001	1	0	1
1875	4063	1	0	1
1875	4085	1	0	1
1875	4088	0	1	0
1875	4134	1	0	1
1875	4171	1	0	1
1875	4172	1	0	1
1875	4173	1	0	1
1875	4175	1	0	1
1875	4176	1	0	1
1875	4199	1	0	1
1875	4259	1	0	1
1875	4288	1	0	1
1875	4478	1	0	1
1875	4493	1	0	1
1875	4495	1	0	1
1875	4522	1	0	1
1875	4595	1	0	1
1875	4605	1	0	1
1875	4609	1	0	1
1875	4613	1	0	1
1875	4668	1	0	1
1875	4691	1	0	1
1875	4706	1	0	1
1875	4726	1	0	1
1875	4830	1	0	1
1875	4833	1	0	1
1875	4924	1	0	1
1875	5034	1	0	1
1875	5066	1	0	1
1875	5074	1	0	1
1875	5111	1	0	1
1875	5142	1	0	1
1875	5252	1	0	1
1875	5269	1	0	1
1875	5325	1	0	1
1875	5422	1	0	1
1875	5424	1	0	1
1875	5425	1	0	1
1875	5450	1	0	1
1875	5463	1	0	1
1875	5471	1	0	1
1875	5501	1	0	1
1875	5525	1	0	1
1875	5527	1	0	1
1875	5579	1	0	1
1875	5685	1	0	1
1875	5686	1	0	1
1875	5690	1	0	1
1875	5691	1	0	1
1875	5693	1	0	1
1875	5792	1	0	1
1875	5797	1	0	1
1875	5800	1	0	1
1875	5872	1	0	1
1875	5902	1	0	1
1875	5933	0	1	0
1875	5934	0	1	0
1875	5937	1	0	1
1875	5954	1	0	1
1875	5962	1	0	1
1875	5983	1	0	1
1875	5984	1	0	1
1875	5985	1	0	1
1875	6182	1	0	1
1875	6240	1	0	1
1875	6241	1	0	1
1875	6282	1	0	1
1875	6426	1	0	1
1875	6491	1	0	1
1875	6565	1	0	1
1875	6596	1	0	1
1875	6597	1	0	1
1875	6598	1	0	1
1875	6611	1	0	1
1875	6628	1	0	1
1875	6637	1	0	1
1875	6652	1	0	1
1875	6667	0	1	0
1875	6723	1	0	1
1875	6790	1	0	1
1875	6850	1	0	1
1875	6868	1	0	1
1875	6879	1	0	1
1875	6883	1	0	1
1875	6897	1	0	1
1875	6904	1	0	1
1875	6917	1	0	1
1875	7027	1	1	1
1875	7048	1	0	1
1875	7076	1	0	1
1875	7083	1	0	1
1875	7086	1	0	1
1875	7095	1	0	1
1875	7112	1	0	1
1875	7150	1	0	1
1875	7155	1	0	1
1875	7159	1	0	1
1875	7167	1	0	1
1875	7184	1	0	1
