## There are #18 experiments in this file			
## 001 -- alpha_factor_release_sample013			
## 002 -- alpha_factor_release_sample014			
## 003 -- alpha_factor_release_sample015			
ID	alpha_factor_release_sample013	alpha_factor_release_sample014	alpha_factor_release_sample015
ymr011w	1.11	1.92	2.2
ymr012w	-0.05	-0.11	-0.25
ymr013c	-0.09	-0.18	0.23
ymr014w	-0.1	-0.8	-1.29
ymr015c	0.09	-0.57	-0.83
ymr016c	0.12	0.89	0.33
yml119w	-1.21	-1.49	-0.93
ymr017w	0.21	0.13	0.25
ymr018w	NA	-0.91	NA
ymr019w	-0.09	-0.17	0
ymr020w	0.47	0.53	0.41
ymr021c	0.12	-0.4	-0.15
ymr022w	-0.26	0.29	-0.14
ymr023c	0.08	0.4	0.1
ymr024w	-0.25	-0.17	-0.43
ymr025w	-0.12	1.02	-0.31
yml118w	0.21	0.57	0.28
ymr026c	-0.33	-0.46	-0.18
ymr027w	-0.11	-0.31	0.18
ymr028w	-0.08	-0.05	0.02
ymr029c	-0.15	-0.19	0.28
ymr030w	-0.2	0.12	0.03
ymr031c	-1.04	0.23	0.45
ymr032w	-1.34	-1.86	-2.06
ymr034c	0.37	-0.31	-0.07
ymr035w	0.23	0.26	0.09
ymr036c	NA	-0.09	-0.3
yml117w	0.27	0.24	-0.12
ymr037c	-0.67	-0.27	-0.13
ymr038c	-0.11	-0.48	-0.34
ymr039c	0.13	0.33	-0.67
ymr040w	0.38	-0.06	0.06
ymr042w	0.32	0.05	0.13
ymr043w	-0.09	NA	-0.61
ymr044w	-0.21	NA	-0.32
ymr047c	-0.05	-0.24	-0.03
ymr048w	-0.84	NA	1.21
ymr049c	0.29	-0.66	-1.19
ymr053c	-0.05	0.09	0.14
yml116w	-0.35	0.7	0
ymr054w	0.11	-0.14	0.18
ymr055c	-0.3	1.1	-0.4
ymr056c	-0.23	-0.88	-0.17
ymr057c	-0.13	-0.05	-0.06
ymr058w	0.99	0.05	0.17
ymr059w	0.03	-0.02	-0.38
ymr061w	-0.08	-0.92	-0.3
ymr063w	-0.46	-0.39	-0.49
ymr064w	0.17	-0.39	-0.05
ymr065w	2.06	0.4	-0.85
ymr066w	-0.36	-0.68	-0.31
yml115c	-0.1	-0.39	-0.14
ymr067c	0.09	0.8	-0.01
ymr068w	-0.17	0.1	0.18
ymr069w	0.3	1.25	1.04
ymr070w	-0.26	-0.24	-0.28
ymr071c	0.21	0.38	-0.3
ymr072w	0.16	0.12	-0.12
ymr073c	0	1.5	-0.22
ymr074c	0.31	0.33	0.33
ymr075w	-0.44	-0.68	-0.11
ymr076c	0.4	0.55	0.88
yml114c	0.01	-0.32	-0.1
ymr077c	-0.13	-0.22	-0.3
ymr078c	-0.96	-0.63	0.55
ymr080c	NA	-0.26	-0.22
ymr081c	0.53	-0.25	0.24
ymr082c	-0.14	0.05	-0.14
ymr083w	-0.1	0.02	0.38
ymr086w	-0.38	-0.42	-0.77
yml113w	-0.22	-0.98	-0.67
ymr087w	-0.32	-0.43	-0.05
ymr088c	0	-0.38	-0.31
ymr089c	0.09	0.43	0.11
ymr090w	-0.34	0.31	0.19
ymr091c	0.06	-0.18	-0.19
yml112w	-0.1	-0.31	-0.21
ymr092c	-0.06	0.03	0.13
ymr093w	0.17	-1.06	-0.66
ymr094w	-0.73	-1.2	0.28
ymr095c	-0.54	-0.53	0.51
ymr096w	-0.41	-0.01	1.09
ymr097c	-0.14	-0.06	0.57
ymr098c	-0.17	-0.35	-0.58
ymr099c	0.03	-0.13	0.11
ymr100w	-0.39	-0.35	-0.98
ymr101c	0	-1.17	0.18
yml111w	-0.06	-0.22	-0.15
ymr102c	0.26	0.1	0.45
ymr103c	0.59	1.02	0.03
ymr104c	0.64	0.48	-2.27
ymr105c	0.06	1.61	1.39
ymr106c	-0.17	-0.27	-0.67
ymr107w	-0.71	-0.94	-0.01
ymr108w	0.43	0.1	0.22
ymr109w	0.05	-0.52	0.19
ymr110c	0.42	0.7	0.76
ymr111c	0.07	-0.38	0.23
ymr112c	-0.02	-0.12	-0.33
ymr113w	0.03	-0.27	0.03
ymr114c	0.1	0.18	0.01
ymr115w	0	-0.34	0.23
yml110c	0.19	0.31	0.38
ymr119w	0.12	0.4	0.74
ymr121c	0.19	0.1	-0.34
ymr122c	0.06	-0.2	0.11
ymr123w	-0.21	0.17	-0.88
ymr124w	0.11	0.1	0.05
yml109w	NA	-0.35	0.07
ymr125w	-0.16	-0.31	-0.54
ymr126c	0.03	-0.61	-0.29
ymr127c	-0.4	-1.43	-0.46
ymr128w	0.05	-0.74	-0.53
ymr129w	-0.26	-0.87	-0.54
ymr130w	-0.14	-0.39	-0.49
ymr131c	-0.14	-0.49	-1.06
ymr132c	-0.1	0.15	-0.52
ymr133w	-0.16	-0.1	0.07
ymr134w	-0.13	-0.87	-0.05
ymr135c	-0.01	-0.33	-0.26
ymr136w	0.25	0.99	-0.21
ymr137c	1.14	0.48	-0.17
ymr138w	-0.06	-0.5	0.24
ymr139w	0.09	0.47	0.34
ymr140w	0.39	0.24	0.58
yml108w	-0.64	-0.12	-0.28
ymr141c	-0.23	0.38	0.43
yml107c	0.02	1.48	-0.8
ymr144w	-1.46	-1.22	0.31
ymr145c	0.69	0.14	0.13
ymr146c	0.01	-0.3	-0.34
ymr147w	-0.13	-0.22	-0.64
ymr148w	0.07	0.28	-0.16
ymr149w	-0.5	-0.1	-0.34
ymr150c	-0.13	NA	-0.17
ymr151w	-0.36	-0.6	-1.03
ymr152w	0.12	0.54	0.11
ymr153w	-0.55	-0.69	-1.01
ymr154c	-0.03	-0.06	-0.62
yml106w	0.04	0.1	-0.26
ymr155w	NA	-0.18	-0.58
ymr156c	-0.02	-0.02	-0.09
ymr157c	-0.15	0.25	-0.53
ymr158w	0.11	-0.01	-0.18
ymr159c	NA	0.15	-0.01
ymr160w	-0.1	-0.2	0.02
ymr161w	-0.14	-0.17	0.23
yml105c	0.02	-0.33	-0.47
ymr162c	-1.99	0.2	-0.18
ymr163c	NA	0.24	-0.41
ymr164c	0.54	0.3	-0.32
yml104c	-0.02	0.07	-0.01
ymr165c	-0.5	0.11	-0.93
ymr167w	-0.21	-0.77	-0.43
ymr168c	-0.52	-0.44	-0.4
ymr170c	0.25	0.34	0.54
ymr171c	-0.2	0.08	-0.18
ymr172w	-0.15	-0.39	-0.44
ymr173w	0.24	1.37	1.1
ymr176w	0.1	0.48	-0.57
ymr177w	-0.2	-0.21	-0.04
ymr178w	0.04	0.02	-0.02
ymr179w	-1.67	-0.03	1.07
ymr180c	-0.03	0.65	0.03
ymr181c	0.27	0.57	-0.13
ymr182c	0.2	0.55	-0.52
yml103c	-0.18	-0.48	-0.59
ymr183c	-0.6	-0.34	-0.69
ymr184w	-0.02	0.46	-0.26
ymr185w	-0.56	-1.34	-1.14
ymr186w	0.35	-0.22	0.12
ymr187c	-0.37	-0.36	-0.34
ymr188c	-0.32	-0.2	-0.24
ymr189w	0.03	0.2	0.6
ymr190c	-0.27	-0.41	-0.44
ymr191w	0.04	0.08	0.37
ymr192w	0.14	-0.3	-0.17
ymr193w	-0.29	0.36	-0.08
ymr195w	-1.36	0.59	-0.33
ymr196w	-0.17	0.39	1.1
ymr197c	0.25	0.54	0.61
ymr198w	NA	-0.01	-0.96
ymr199w	-1.99	-1.1	1.44
ymr200w	-0.2	0.46	0.26
ymr202w	-0.1	-0.28	-0.22
ymr203w	-0.1	0	-0.15
ymr204c	-0.41	-0.24	-0.52
ymr205c	0.16	-0.07	-0.22
ymr206w	0.06	-0.4	-0.2
ymr207c	0.03	0.02	-0.39
yml102w	-1.11	-0.78	-0.36
ymr208w	0.15	-0.14	-0.21
ymr209c	-0.32	0	-0.49
ymr210w	-0.09	-0.24	-0.41
ymr211w	0.77	0.97	0.65
ymr212c	0.03	-0.29	-0.39
ymr213w	-0.26	-0.51	-0.5
ymr214w	0.01	-0.15	0.14
ymr215w	NA	-2.46	-2.05
yml101c	-0.38	0.21	-0.18
ymr216c	-0.21	-0.45	-0.42
ymr217w	0.26	-0.01	-0.16
ymr218c	-0.16	-0.3	-0.23
yml100w	-1.59	1.74	0.79
ymr219w	-0.09	-0.63	-0.76
ymr220w	0.01	-0.29	0.11
ymr221c	-0.07	0.21	-0.02
ymr222c	0.04	-0.36	-0.03
ymr223w	0.09	0.02	-0.1
ymr224c	0.01	-0.4	0.01
ymr226c	0.62	0.8	0.42
ymr227c	0.21	0.57	0
ymr228w	-0.17	0.16	-0.6
ymr229c	-0.03	0.06	-0.65
ymr231w	-0.24	0.05	-0.49
ymr232w	NA	1.27	-0.16
ymr233w	-0.6	-0.52	NA
ymr234w	0.01	0.04	-0.1
ymr235c	0.15	0.28	-0.38
ymr236w	0.11	0.05	-0.24
ymr237w	-0.39	0.14	-0.27
yml099c	-0.13	0.33	-0.43
ymr238w	0.49	0.24	0.41
ymr239c	0.02	-0.7	-0.71
ymr240c	-0.25	-0.71	-0.14
ymr241w	0.08	0.01	0.12
ymr242c	0.36	0.22	0.14
ymr243c	-0.25	-0.3	-0.47
ymr244w	0.1	-0.17	0.02
ymr245w	-0.21	-0.27	-0.49
ymr246w	0.09	-0.69	-1.16
ymr247c	0.01	-0.43	-0.14
ymr250w	0.26	1.25	1.61
yml098w	-0.46	0.05	-0.61
ymr251w	-0.01	0.26	0.38
ymr252c	-0.14	0.15	0.56
ymr253c	NA	0.17	-0.29
ymr255w	-0.17	0.16	-0.47
ymr257c	-1.42	-0.23	-1.92
ymr258c	0.12	0.73	0.44
yml097c	-0.35	-0.64	-0.45
ymr259c	-0.04	0.2	-0.67
ymr260c	0.32	0.05	-0.09
ymr261c	-0.68	0.3	-0.48
ymr262w	0.07	0.1	0.14
ymr263w	-0.08	0	-0.8
ymr264w	-0.03	0.03	0.03
ymr265c	0	2.01	-0.48
ymr266w	0.24	0.35	0.12
yml096w	-0.37	-0.43	-0.38
ymr267w	-0.1	0.01	-0.03
ymr268c	-0.48	-0.49	-0.14
ymr270c	-0.48	-0.65	-0.24
ymr271c	-0.33	0.27	0.17
ymr272c	0.12	0.1	0.29
ymr274c	-1.03	-1.22	-1.01
yml095c	0	-0.45	-0.23
ymr275c	-0.33	-0.42	0.17
ymr276w	0.01	0.01	0.2
ymr277w	NA	-0.7	-0.27
ymr278w	0.16	0.54	0.41
ymr279c	-0.06	-0.04	0.36
ymr280c	-1.08	0.09	-0.17
yml093w	0.06	-1.23	-0.86
ymr281w	0.37	0.57	0.76
ymr282c	-0.14	-0.38	-0.36
ymr283c	0.5	-0.18	0.16
ymr284w	-0.03	0.49	-0.44
ymr285c	0.09	-0.42	-0.25
ymr287c	0.36	NA	0.11
ymr288w	-0.03	-0.83	-0.43
ymr289w	0.07	-0.17	-0.28
ymr290c	0.01	-0.77	-1.04
ymr291w	0.7	0.78	-0.07
ymr293c	0	-0.29	-0.07
ymr294w	-0.13	-0.13	-0.15
ymr295c	0.17	0.11	0.28
ymr296c	0.19	0.11	0.44
yml092c	0.18	-0.22	0.07
ymr297w	NA	-0.25	0.29
ymr298w	0.12	0.01	-0.03
ymr299c	-0.42	-0.97	-0.11
ymr300c	-0.02	1.02	0.38
ymr301c	-0.06	-0.44	0.03
ymr302c	-0.01	0.11	0.27
yml091c	-0.65	0.22	0.28
ymr303c	0.32	-0.1	0.47
ymr304w	0.69	0.98	0.57
ymr305c	NA	1.61	1.65
ymr306w	0.31	0.28	-0.16
ymr307w	-0.81	-1.28	-0.15
ymr308c	0.39	0.01	NA
ymr309c	-0.38	-1.06	-0.54
ymr310c	-0.09	-0.71	-1.95
ymr311c	-0.1	0.08	0.16
ymr312w	0.2	-0.05	-0.25
ymr313c	-0.21	-0.23	-0.14
ymr314w	-0.04	0.13	-0.08
ymr315w	NA	1.27	1.52
ymr316w	1.96	0.29	0.41
ymr317w	-0.42	0.06	0.1
yml090w	0.1	0.42	0.53
yml089c	-0.35	-0.41	0.04
ymr318c	0.41	0.36	0.47
ymr319c	-0.17	-0.86	-0.61
ymr320w	0.16	-0.12	-0.2
ymr321c	0.32	-0.31	0.36
yml088w	0.32	-0.07	-0.04
yml087c	-0.03	-0.01	0.04
yml084w	NA	-0.04	0.4
yml083c	-0.33	-0.31	0.25
ynl284c	0.05	-0.26	0.37
ynl283c	0.5	-0.21	-0.12
ynl282w	-0.02	-1.02	-0.41
ynl281w	0.28	0.04	0.09
ynl280c	1.24	0.73	0.33
ynl279w	NA	2.17	0.65
ynl278w	-0.68	NA	-0.13
ynl335w	-0.24	-0.31	0.43
ynl277w	-0.56	0.69	-0.15
ynl276c	-0.15	1.06	-0.06
ynl275w	-0.37	NA	-1.01
ynl274c	-0.18	0.58	0.97
ynl334c	-0.06	-0.01	0.97
ynl273w	-0.72	-0.34	-0.32
ynl272c	0.37	0.48	0.4
ynl271c	-0.28	-0.35	-0.33
ynl333w	0.27	0.26	0.94
ynl270c	0.12	-0.25	-0.07
ynl269w	-0.2	-0.12	-0.58
ynl268w	0.16	-0.08	0.14
ynl267w	-0.21	-0.5	-0.39
ynl266w	-0.11	-0.41	-0.34
ynl265c	-0.03	0.08	-0.39
ynl264c	0.01	-0.1	0.08
ynl263c	-0.54	-0.53	0.22
ynl262w	0.25	-0.92	-0.04
ynl332w	0.48	0.32	1.17
ynl261w	0.26	0.23	0.19
ynl260c	0.16	0.17	0.14
ynl259c	-0.06	-0.1	-0.07
ynl258c	-0.1	-0.59	-0.34
ynl257c	-0.05	-0.23	-0.05
ynl331c	0.11	0.37	0.21
ynl256w	0.25	-0.14	-0.2
ynl255c	0.18	-0.02	-0.43
ynl254c	0.26	0.04	-0.24
ynl253w	-0.21	0.24	-1.02
ynl252c	0.44	0.03	-0.14
ynl251c	-0.1	0	0.26
ynl250w	0.01	-0.18	-0.33
ynl249c	-0.15	-0.09	-0.17
ynl330c	-0.3	-0.28	0.26
ynl248c	0.3	-0.81	-0.91
ynl247w	-0.21	-0.21	NA
ynl246w	-0.18	-0.53	-0.56
ynl245c	-0.55	-0.25	-0.72
ynl244c	0.14	-0.37	-0.14
ynl243w	-0.22	-0.34	0.29
ynl242w	-0.18	-0.76	-0.37
ynl329c	-0.54	-0.04	-0.68
ynl241c	0.5	0.64	1.04
ynl240c	0.25	-0.36	-0.24
ynl239w	0.52	0.49	0.82
ynl238w	0.11	-0.46	-0.43
ynl237w	-0.45	0.09	-0.15
ynl236w	-0.11	-0.45	-0.04
ynl235c	-0.13	-0.15	0.21
ynl234w	0.12	-0.38	0.15
ynl233w	-0.54	-0.47	0.83
ynl232w	0.11	-0.41	-0.16
ynl231c	-0.79	0.04	0.16
ynl230c	-0.02	0.26	-0.14
ynl229c	-0.11	-0.12	-0.2
ynl228w	0.08	-0.52	-1.05
ynl227c	-0.15	-0.77	-1.5
ynl226w	0.09	-1.34	-0.46
ynl225c	-1	-0.06	-0.78
ynl224c	-0.1	-0.43	-0.21
ynl223w	-0.19	0.09	-0.86
ynl328c	-0.93	-0.64	-0.5
ynl222w	0.41	0.05	0.4
ynl221c	-0.12	-0.77	-1.8
ynl220w	0.1	0.57	0.62
ynl219c	-0.17	-0.46	-0.21
ynl218w	-0.52	-0.77	0.07
ynl217w	-0.44	-0.51	-0.85
ynl327w	NA	-2.52	NA
ynl216w	-0.97	-1.23	-0.87
ynl215w	-0.21	-0.31	0.17
ynl214w	-0.29	-0.22	-0.06
ynl213c	-0.08	-0.51	-0.37
ynl212w	-0.34	-0.88	-0.84
ynl211c	-0.07	-0.22	-0.23
ynl210w	0.41	-0.07	-0.23
ynl209w	0.47	-0.2	0.09
ynl208w	2.11	1.94	1.98
ynl207w	-1.32	-0.62	NA
ynl206c	-0.26	NA	0.04
ynl204c	-0.24	-0.16	-1.09
ynl203c	-0.67	-0.56	-2.09
ynl202w	0	2.05	-0.35
ynl201c	0.05	1.12	-1.66
ynl200c	0.3	1.67	0.8
ynl198c	-0.47	0.96	-0.51
ynl197c	-1.11	-0.74	-1.04
ynl196c	0.06	-0.27	-0.69
ynl195c	-0.07	-0.13	0.17
ynl194c	0.2	-0.5	-0.2
ynl326c	-0.14	-0.61	-0.15
ynl193w	-0.66	-0.54	-0.1
ynl192w	2.09	0.97	-0.04
ynl191w	-0.02	-0.5	-0.5
ynl190w	0.13	-0.39	-0.13
ynl189w	0.05	-0.28	0.05
ynl188w	-1.16	-0.83	-0.24
ynl325c	-0.4	-0.54	-0.91
ynl187w	-0.07	-0.24	-0.24
ynl186w	0.21	-1.09	-0.06
ynl184c	-0.23	-0.17	-0.32
ynl183c	-0.59	0.17	-0.35
ynl182c	0.19	-1.27	-1.13
ynl181w	-0.6	-0.21	-0.05
ynl179c	-0.5	0.01	-0.3
ynl178w	0.36	-0.21	-0.42
ynl177c	-0.48	0.06	-0.07
ynl176c	-0.35	-0.3	-0.55
ynl175c	0.03	-0.79	-1.34
ynl174w	NA	-0.63	-0.8
ynl173c	-0.52	-0.01	-0.35
ynl324w	0.19	0.14	0.05
ynl172w	-0.57	-0.51	-0.35
ynl171c	-0.29	-0.45	-0.22
ynl170w	-0.28	-0.33	0.46
ynl169c	-0.28	-0.12	0.31
ynl168c	0.05	-0.26	0.19
ynl167c	-0.29	-0.44	-0.16
ynl323w	-0.19	-0.4	-0.68
ynl166c	-0.31	-0.66	0.36
ynl165w	0.07	-0.23	0.41
ynl164c	0.01	-0.81	0.37
ynl163c	0.18	-0.5	-0.31
ynl162w	0.23	-0.1	0.16
ynl161w	-0.39	-0.31	-0.16
ynl322c	0.09	-0.09	0.36
ynl160w	-1.63	0.09	0.71
ynl159c	-0.27	-0.03	-0.2
ynl158w	-0.19	-0.03	0.04
ynl157w	-0.19	-0.17	-0.61
ynl156c	0.17	0.33	0.49
ynl155w	-0.3	-0.4	-0.71
ynl154c	0.13	0.22	0.07
ynl153c	0.12	-0.35	-0.6
ynl152w	-0.12	-0.47	-0.3
ynl321w	-0.69	-0.41	-0.46
ynl151c	-0.01	-0.41	-0.75
ynl150w	-0.24	-0.39	-0.24
ynl149c	-0.2	-0.12	-0.59
ynl148c	0.05	-0.34	0.09
ynl147w	0.04	-0.01	-0.14
ynl146w	0.01	0.07	0.23
ynl145w	1.45	0.79	-0.06
ynl144c	-0.26	-0.65	-0.64
ynl143c	-0.17	-0.02	-0.59
ynl142w	-0.54	-0.64	-0.37
ynl141w	0.64	-0.59	-1.18
ynl139c	0.13	-0.12	-0.14
ynl138w	0.28	-0.09	0.53
ynl137c	0.08	-0.09	0.33
ynl136w	-0.2	-0.24	-0.15
ynl135c	0.11	0.1	0.03
ynl134c	0.13	0.91	1.2
ynl132w	0.06	-0.69	-0.93
ynl320w	0.21	0.18	0.31
ynl131w	-0.09	-0.03	-0.15
ynl130c	-0.04	0.08	0.32
ynl129w	-0.04	-0.27	-1.31
ynl128w	-0.29	-0.54	-0.52
ynl127w	0.64	0.72	0.49
ynl319w	-0.4	-0.06	-0.56
ynl318c	NA	-0.82	-0.3
ynl126w	-1.08	-1.19	-0.52
ynl125c	0.31	0.09	-0.09
ynl124w	0.63	0.04	0.36
ynl123w	0.28	-0.3	-0.46
ynl122c	-0.01	-0.7	-0.23
ynl121c	0.1	-0.33	0.08
ynl120c	0.09	-1.48	-0.72
ynl119w	0.09	-0.17	-0.36
ynl118c	-0.47	-0.64	-0.46
ynl317w	0.41	0.79	0.19
ynl117w	-0.22	-0.04	-0.14
ynl116w	-0.66	-0.73	-0.52
ynl115c	0.51	0.56	0.88
ynl114c	0.05	-1.2	-0.68
ynl113w	0.04	-0.85	-0.95
ynl112w	0.39	-0.41	-0.96
ynl111c	-1.11	-1.13	-0.6
ynl110c	-0.09	-0.95	-1.27
ynl109w	-0.44	-0.14	-0.23
ynl108c	-0.16	-0.23	-0.12
ynl107w	0.13	0.09	-1.02
ynl316c	-0.25	-0.52	-0.21
ynl106c	0.56	0.02	-0.18
ynl105w	0.8	NA	-0.8
ynl104c	0.64	0.41	0.36
ynl103w	-0.6	-0.29	-1.03
ynl102w	-0.47	-0.06	0.02
ynl315c	0.07	0.3	0.15
ynl101w	-0.09	0.51	-0.34
ynl100w	-0.08	-0.57	-0.26
ynl099c	-0.32	-0.3	-0.32
ynl098c	0.14	0.28	0.06
ynl097c	-0.46	0.18	0.07
ynl096c	0.11	-0.52	-0.38
ynl314w	-0.04	0.7	0.12
ynl095c	-0.1	-0.44	-0.28
ynl094w	0.14	-0.2	-0.02
ynl093w	-0.03	0.27	-0.44
ynl092w	0.21	0.37	0.5
ynl091w	-0.38	-0.52	-0.52
ynl313c	-0.35	-0.65	-0.28
ynl090w	0.14	-0.14	0.15
ynl089c	0.02	0.21	0.18
ynl088w	0.07	0.57	0
ynl087w	-0.72	-0.6	-0.88
ynl086w	-0.07	-0.09	-0.03
ynl085w	-0.12	-0.17	-0.41
ynl084c	0.1	0.16	0.13
ynl083w	-0.26	-0.26	-0.99
ynl082w	-0.97	-0.34	0.48
ynl081c	-0.11	0.26	-0.44
ynl080c	-0.28	-0.42	-0.41
ynl079c	0.23	0.64	0.13
ynl078w	-0.64	-0.8	-2.14
ynl077w	-1.15	-0.18	0.86
ynl312w	-0.61	-0.62	0.6
ynl076w	-0.16	-0.46	-0.34
ynl075w	-0.19	-1.64	-0.95
ynl074c	0.06	-0.17	0
ynl073w	-0.23	-0.24	0.11
ynl072w	-1.29	-1.56	0.11
ynl071w	0.11	-0.08	0.41
ynl070w	0.03	-0.28	0.03
ynl069c	0.27	0.15	0.09
ynl311c	-0.44	0.97	-0.24
ynl068c	-0.78	-0.87	-1.06
ynl067w	0.17	-0.08	-0.1
ynl066w	-1.76	-2.42	-2.18
ynl065w	1.32	-1.33	NA
ynl064c	0.4	-0.16	-0.04
ynl063w	-0.29	-0.34	-1.04
ynl062c	0.03	-0.71	-1.19
ynl061w	0.01	-0.67	-1.27
ynl059c	-0.05	-0.28	-0.65
ynl058c	-0.97	-0.93	-1.66
ynl057w	-1.17	-0.78	-0.93
ynl056w	0.18	0.2	-0.06
ynl055c	0.3	0.66	0.26
ynl310c	-0.49	-0.48	0.31
ynl309w	-0.7	-0.12	0.49
ynl054w	-0.05	-0.17	-0.03
ynl053w	0.95	0.17	0.18
ynl052w	-0.42	-0.34	-0.04
ynl051w	-0.4	-0.03	0.17
ynl050c	0.11	-0.95	-0.43
ynl049c	-0.18	-0.45	-0.08
ynl048w	-0.12	-0.33	-0.2
ynl047c	-0.29	-0.42	-0.04
ynl308c	0.06	-0.88	-0.68
ynl046w	-1.23	-1.48	-1.39
ynl045w	0.43	0.46	0.66
ynl044w	-0.23	-0.3	-0.17
ynl043c	-0.2	-0.29	0.02
ynl042w	NA	1.07	0.95
ynl041c	0.01	-0.29	0.09
ynl040w	0.32	0.23	0.24
ynl039w	-0.57	-0.21	-0.2
ynl038w	0.14	0.21	0.01
ynl037c	0.49	0.4	0.19
ynl036w	-0.01	NA	NA
ynl307c	-0.39	-0.57	-0.34
ynl035c	-0.02	0.04	-0.29
ynl032w	-0.7	-1.2	-1.13
ynl031c	-2.17	-1.72	-1.91
ynl030w	NA	-2.52	-2.29
ynl029c	-0.47	-0.53	-0.81
ynl028w	0.39	-0.31	-0.19
ynl027w	0.08	0.04	-0.13
ynl306w	-0.2	-0.25	0.07
ynl026w	0.09	-0.06	0.05
ynl025c	0.02	0.33	0.19
ynl024c	0.14	0.66	0.09
ynl023c	0.13	-0.91	-0.45
ynl305c	-0.16	0.57	0.49
ynl022c	0.21	-1.11	-0.65
ynl021w	-0.39	-0.64	-0.32
ynl020c	0.01	-0.07	-0.11
ynl019c	-0.37	0.17	-0.54
ynl017c	-0.3	0.12	-0.07
ynl016w	-0.02	-0.02	-0.44
ynl304w	-0.63	-0.18	0.3
ynl015w	-0.93	-0.17	-0.66
ynl014w	0.01	-0.36	-0.7
ynl013c	-0.27	-0.39	-0.8
ynl012w	-0.35	-0.27	-0.26
ynl011c	-0.49	0.51	-0.12
ynl010w	-0.04	-0.17	-0.41
ynl009w	-0.53	0.04	-0.8
ynl008c	-0.22	0.13	-0.38
ynl007c	-0.25	-0.03	0.12
ynl302c	0.29	0.31	0.1
ynl006w	-0.02	-0.05	-0.01
ynl005c	-0.12	0.13	0.24
ynl004w	0.06	-0.59	0.02
ynl003c	0.29	0.29	0.18
ynl002c	NA	-1.31	-0.72
ynl001w	0.28	0.06	-0.47
ynr001c	0.98	1.55	2.1
ynr002c	-0.01	-0.3	-0.75
ynr003c	0.29	-0.47	-0.45
ynl301c	0.12	0.13	-0.39
ynr004w	0	-0.83	-0.46
ynr005c	0.44	0.39	0.39
ynr006w	0.38	0.07	-0.23
ynr007c	0.1	0.09	0.28
ynr008w	0.09	-0.07	0.01
ynr009w	-1.95	-1.9	0.16
ynr010w	0.02	-0.13	-0.16
ynr011c	-0.26	0.39	-0.59
ynr012w	0.01	-0.8	-0.96
ynr013c	0.37	-0.15	-0.25
ynr014w	0.64	0.43	0.16
ynr015w	0.24	-0.71	0.23
ynr016c	-0.01	-0.4	-0.1
ynl300w	-1.11	-0.56	0.45
ynr017w	-0.02	-0.72	0.19
ynr018w	0.25	-0.11	-0.19
ynl299w	-0.4	-1.3	-1.03
ynr019w	-0.41	-0.63	-0.06
ynr020c	-0.21	-0.63	-0.34
ynr021w	-0.1	-0.27	0.12
ynr022c	-0.23	-0.38	-0.03
ynr023w	-0.47	-0.48	-0.5
ynr024w	-0.12	-0.86	-0.71
ynr025c	0.11	-0.76	-0.31
ynr026c	-0.3	-0.44	-0.31
ynr027w	0.35	NA	-0.12
ynr028w	-0.7	-0.14	0.02
ynr029c	-0.13	0.48	-0.62
ynr030w	-0.25	0.07	-0.36
ynr031c	-0.13	-0.18	-0.84
ynr032w	0.16	0.07	-0.49
ynr033w	-0.07	-0.06	-0.16
ynl298w	-0.07	0.21	0.41
ynr034w	-0.52	0.7	-0.31
ynr035c	0.03	-0.12	0.29
ynr036c	-0.32	0.42	-0.16
ynr037c	-0.1	0.21	-0.27
ynr038w	-0.14	-1.23	-1.03
ynr039c	-0.1	-0.72	-0.4
ynr040w	-0.37	-0.52	-0.65
ynr041c	-0.2	-0.49	-0.29
ynr042w	-0.21	-0.62	-0.13
ynr043w	0.36	-0.03	0.25
ynr044w	NA	NA	2.29
ynr045w	-0.06	-0.48	-0.21
ynr046w	0.29	-0.09	-0.47
ynr047w	0.76	0.81	0.67
ynr048w	0.03	-0.4	-0.26
ynr049c	-0.26	-0.45	-0.2
ynr050c	-0.43	-0.12	-0.39
ynl297c	-0.29	-0.18	-0.56
ynr051c	0.34	-0.14	-0.12
ynr052c	-0.38	-0.09	-0.66
ynr053c	0.33	-1.22	-1.27
ynr054c	-0.31	-0.88	-1.57
ynr055c	0.05	0.27	-0.51
ynr056c	-0.15	0.28	0.12
ynr057c	0	1.08	-0.01
ynr058w	-0.58	-0.25	-1.89
ynr059w	0.82	0.82	-0.01
ynr060w	0.14	0.83	-0.31
ynr061c	0.12	0.08	0.04
ynr062c	-0.27	-0.03	-0.24
ynr063w	-0.14	-0.87	-0.41
ynr064c	-0.23	-0.09	-0.53
ynr066c	0.33	0.06	-0.14
ynr067c	NA	NA	NA
ynr068c	-0.46	0.53	0.03
ynr069c	-0.51	-0.2	-0.15
ynl296w	-0.06	-0.18	-0.12
ynr070w	-0.34	0.53	0.36
ynl295w	-0.13	0.22	-1.03
ynr071c	-0.41	-0.3	0.2
ynr072w	0.2	0.47	0.47
ynr074c	-0.36	0.05	-0.36
ynr075w	0.48	-0.34	0.24
ynl294c	0.51	0.09	0.09
ynl293w	0.18	2.08	-0.14
ynl292w	0.32	-0.33	0.1
ynl291c	0.41	-0.47	-0.1
ynl290w	-0.4	-0.8	0.19
ynl289w	-0.05	0.32	-0.31
ynl288w	0.13	-0.11	0.16
ynl287w	-0.07	-0.22	0.12
ynl286w	-0.05	-0.38	-0.01
