## There are #18 experiments in this file			
## 001 -- alpha_factor_release_sample013			
## 002 -- alpha_factor_release_sample014			
## 003 -- alpha_factor_release_sample015			
ID	alpha_factor_release_sample013	alpha_factor_release_sample014	alpha_factor_release_sample015
ykr079c	-0.23	NA	-1.01
ykr080w	-0.31	0.91	0.2
ykr081c	-0.16	-0.44	-1.34
ykr082w	-0.19	-0.26	-0.69
ykr083c	-0.52	-0.45	NA
ykr084c	0.14	0.24	-0.1
ykr085c	-0.17	-0.27	-0.14
ykr086w	-0.03	-0.06	-0.01
ykr087c	0.1	0.04	0.23
ykr088c	0.09	-0.25	-0.03
ykr089c	0.1	0.01	-0.01
ykr090w	-0.79	-0.92	-0.18
ykl221w	0.91	0.6	1.12
ykr091w	1.53	0.66	0.73
ykr092c	-0.24	-1.53	-1.08
ykr093w	-0.22	-0.47	-0.49
ykr094c	0.27	-0.11	0.06
ykr095w	-0.12	0.7	-1.11
ykr096w	0.16	0.48	-0.06
ykr097w	-0.55	0.03	-1.09
ykr098c	0.15	0.38	0.42
ykr099w	-0.68	-0.89	NA
ykl202w	-0.31	-0.03	-0.56
ykr100c	0.16	0.03	0.14
ykl201c	-0.2	0.07	0.42
ykr101w	-1.67	NA	-0.87
ykr102w	-0.22	0.45	-0.21
ykr103w	-1.18	0.8	NA
ykr104w	-0.16	0.08	-0.08
ykl198c	-0.22	-0.5	-0.17
ykl197c	0.01	-0.16	0.18
ykl196c	0.14	-0.19	0.09
ykl195w	0.35	-0.07	-0.07
ykl194c	0.25	-0.02	0.36
ykl193c	-0.1	-0.28	-0.03
ykl192c	-0.02	-0.27	0.07
ykl191w	0.05	-0.87	-0.73
ykl190w	-0.06	-0.19	0.07
ykl189w	NA	0.61	-0.14
ykl188c	-0.73	-0.21	-1.17
ykl187c	0.39	0.62	0.38
ykl220c	0.19	0.09	0.28
ykl186c	-0.17	-0.32	-1.02
ykl185w	-0.48	-1.53	-0.62
ykl184w	0.27	0.21	0.24
ykl183w	-0.29	-0.04	-0.28
ylr431c	0.16	-0.15	-0.36
ylr432w	-0.08	-0.25	-0.78
ylr434c	-0.14	-0.21	-1.14
ylr435w	0.37	-0.28	-0.62
ylr436c	-0.57	-0.2	-0.6
yll021w	-0.82	-0.09	-0.58
ylr437c	-0.46	-0.35	-0.51
ylr438w	-2.12	-1.01	-1.11
ylr439w	-0.03	-0.25	-0.22
ylr440c	-0.07	-0.41	-0.2
ylr441c	0.28	-0.35	-0.17
ylr442c	-0.2	-0.79	-0.41
ylr443w	0.43	0.11	0.4
ylr444c	0.27	0.1	0.19
ylr445w	0.11	0.03	0.16
ylr446w	-0.18	-0.04	-0.5
ylr447c	0.05	-0.31	-0.19
ylr448w	-0.04	-0.23	-0.28
ylr449w	0.4	-0.23	-0.25
ylr450w	0.08	0.11	-0.17
ylr451w	0.29	-0.42	-0.23
ylr452c	NA	1.29	-0.79
ylr453c	0.14	-0.17	-0.15
ylr454w	0.11	0.53	-0.59
ylr455w	-0.05	-0.32	-0.69
ylr456w	-0.13	0.24	NA
ylr457c	0.04	0.17	0.47
ylr458w	-0.39	0.16	-0.19
yll019c	-0.49	0.04	-0.18
ylr459w	-0.31	-0.27	-0.1
ylr465c	-0.54	-0.25	1.35
yll018c	0.48	0.23	0.29
yll017w	-0.23	-0.12	0.12
yll016w	-0.08	-0.08	-0.56
yll015w	NA	0.78	NA
yll014w	0.1	-0.12	0.03
yll013c	-0.63	-0.75	-1.16
yll012w	-0.15	-0.36	0.66
yll011w	0.02	-1.24	-1.06
yll010c	0.06	-0.11	-0.13
yll009c	0.34	0.41	0.28
yll008w	0.13	-1.01	-0.87
yll007c	-0.05	-0.26	-0.36
yll006w	-0.27	-0.33	0.16
yll005c	-0.52	-0.47	-0.5
yll004w	-0.35	-0.75	-0.39
yll003w	-0.01	-0.19	0.09
yll002w	-1.02	-0.58	0.5
yll063c	0.06	-0.48	0.27
yll001w	-0.57	-0.09	-0.15
ylr001c	-0.14	0.12	-0.21
ylr002c	-0.03	-1.06	-1.15
ylr003c	-0.04	-0.56	-0.94
ylr004c	-1.02	-2.38	-1.21
ylr005w	-0.19	-0.03	0.06
ylr006c	-0.26	0.03	-0.29
ylr007w	-0.11	0.12	-0.16
ylr008c	-0.02	-0.3	-0.36
yll062c	0.21	0.21	0.53
ylr009w	0.43	-0.85	-0.47
ylr010c	0.16	0.41	-0.05
ylr011w	0.3	-0.06	0.41
ylr012c	-0.08	-0.02	0.14
ylr013w	0.34	-0.88	0.02
ylr014c	-0.03	-0.39	-0.27
ylr015w	0.04	-0.6	-0.4
ylr016c	0.01	-0.33	-0.26
ylr017w	0.04	-0.5	-0.52
ylr018c	-0.22	-0.14	0.21
yll061w	0.28	0.31	0.01
ylr019w	-0.1	-0.09	-0.02
ylr020c	-0.34	-0.07	-0.19
ylr021w	-0.34	1.19	-0.68
ylr022c	-0.12	-0.21	-0.9
ylr023c	-0.05	0	-0.3
ylr024c	0.56	0.15	-0.11
ylr025w	-0.07	0.05	-0.15
ylr026c	-0.28	-0.14	-0.89
ylr027c	0.26	0.11	0.05
ylr028c	-0.13	0.1	-0.05
ylr029c	0.49	0.14	-0.2
ylr030w	-1.25	-0.05	0.14
ylr031w	-0.44	-0.56	-0.04
ylr032w	-0.3	0.67	0.06
ylr033w	-0.43	-0.87	-0.71
ylr034c	0.44	0.39	0.69
yll060c	0.17	0.2	0.52
ylr035c	-0.14	-0.24	-0.19
ylr036c	-0.4	-0.02	-0.01
ylr037c	0.06	-0.17	-0.04
yll059c	0.14	0.63	0.13
ylr038c	-0.28	0.08	0.03
ylr039c	-0.22	-0.53	0.01
ylr040c	-0.01	-0.56	-0.55
ylr041w	0.16	-0.36	-0.64
ylr042c	0.7	0.07	-0.29
ylr043c	0.07	0.04	-0.05
ylr044c	0.04	0.14	-0.12
ylr045c	-1.74	-0.49	-1.12
yll058w	0.14	-0.01	0.51
ylr046c	-0.2	0.39	0.06
ylr047c	-0.2	-0.33	-0.12
ylr048w	0.04	0.2	0.01
ylr049c	-1.76	0.07	-0.06
ylr050c	-0.47	0.07	0.23
ylr051c	0.16	-0.58	-0.59
ylr052w	-0.19	-0.01	-0.42
ylr053c	0.09	0.48	0.07
ylr054c	-0.15	0.11	-0.33
ylr055c	-0.48	-0.34	-0.49
ylr056w	-0.89	-1.23	-0.78
ylr057w	NA	-0.61	-0.45
yll057c	0.28	0.07	0.22
ylr058c	-0.39	0.76	0.86
ylr059c	0.06	-0.5	-0.37
ylr060w	0.07	-0.02	-0.06
ylr061w	-0.03	-0.18	-0.26
ylr062c	0.14	0.08	0.15
ylr063w	-0.26	-1.45	-0.26
ylr064w	0.05	0.24	0.09
ylr065c	0.24	0.17	0.14
ylr066w	0.14	0.54	0.55
ylr067c	-0.24	-0.76	-0.42
ylr068w	-0.26	-0.47	-1.14
ylr069c	0	0.13	0
yll056c	0.17	-0.52	0.37
ylr070c	-0.46	0	-1.35
ylr071c	-0.12	0.01	-0.12
ylr072w	-0.61	-0.21	-1.12
ylr073c	0.04	-0.11	-0.5
ylr074c	0.14	-0.42	-1.55
ylr075w	0.35	0.1	-0.05
ylr076c	0.09	0.25	-0.23
ylr077w	-0.35	0.03	-0.39
ylr078c	NA	-0.22	-0.42
ylr079w	-1.21	-0.73	-1.24
ylr080w	0.18	0.18	0.21
ylr081w	0.09	0.04	0.16
ylr082c	-0.34	-0.33	-0.56
ylr083c	-0.33	-1.1	-0.91
ylr084c	-0.17	-0.27	-0.04
ylr085c	0.06	-0.14	-0.16
yll055w	0	0.67	0.12
ylr086w	0.2	0.16	0.06
ylr087c	-1.37	0.52	-0.49
ylr088w	-0.55	-0.43	-0.36
ylr089c	-0.27	-0.42	-0.19
ylr090w	0.01	0.03	-0.22
ylr091w	-0.58	-0.97	-0.45
ylr092w	-0.28	0.27	-0.62
ylr093c	0.03	0.12	-0.28
ylr094c	-0.31	-0.43	-1.09
yll054c	0.12	-0.59	0.01
ylr095c	-0.39	-0.24	-0.2
ylr096w	-0.45	NA	-0.66
ylr097c	-0.07	-0.35	-0.24
ylr098c	-0.53	NA	-0.65
ylr099c	0.64	-0.2	-0.58
ylr100w	-0.47	-0.28	-0.78
ylr102c	-0.66	0.53	-0.89
ylr103c	-0.94	-0.2	1.05
ylr104w	0.08	0.35	0.16
ylr105c	0.28	-0.13	0.07
ylr106c	-0.08	-0.32	0.01
yll052c	-0.06	-0.04	0.07
ylr107w	0.35	-0.37	-0.09
ylr108c	-0.65	0.79	0.43
ylr109w	0.3	0.13	0.29
ylr110c	-0.7	-0.47	-0.6
ylr111w	NA	-0.72	NA
ylr112w	-1.04	-0.95	-1.18
ylr113w	-0.43	-0.71	-0.27
yll051c	0.48	-0.45	-0.05
ylr114c	-0.08	NA	-0.34
